,Id,Title,Ww_gross,Dom_gross,Fore_gross,Year,Descriptions,Rating_cnt,Best_rating,Worst_rating,Rating_value,Content_rating,Release,Keywords,Runtime,Genre1,Genre2,Genre3,Actor1,Actor2,Actor3,Director1,Director2,Director3,Creator1,Creator2,Creator3
219,tt0831387,Godzilla,524976069,200676069,324300000,2014,""": ""The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."",
  ",422955,10,1,6.4,PG-13,2014-05-16," godzilla,radiation,atomic breath,halo parachute jump,kaiju",2H3M,"""Action""","""Adventure""","""Sci-Fi""","""AaronTaylor-Johnson""","""ElizabethOlsen""","""BryanCranston""","""GarethEdwards""",,,"""Ishir\\u00f4Honda""","""TakeoMurata""","""ShigeruKayama"""
220,tt2386490,How to Train Your Dragon: The Hidden World,524580592,160945505,363635087,2019,""": null,
  ",138137,10,1,7.4,PG,2019-02-22," dragon,sequel,finale,dragon hunter,flaming sword",1H44M,"""Animation""","""Action""","""Adventure""","""JayBaruchel""","""AmericaFerrera""","""F.MurrayAbraham""","""DeanDeBlois""",,,"""DeanDeBlois""","""CressidaCowell""",
221,tt0988045,Sherlock Holmes,524028679,209028679,315000000,2009,""": ""Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England."",
  ",648205,10,1,7.6,PG-13,2009-12-25," sherlock holmes character,scotland yard inspector,baker street london,belt,serial killer",2H8M,"""Action""","""Adventure""","""Mystery""","""RobertDowneyJr.""","""JudeLaw""","""RachelMcAdams""","""GuyRitchie""",,,"""MichaelRobertJohnson""","""AnthonyPeckham""","""SimonKinberg"""
222,tt0290002,Meet the Fockers,522657936,279261160,243396776,2004,""": null,
  ",277907,10,1,6.3,PG-13,2004-12-22," neo screwball comedy,family character name in title,remake,male nurse,nurse",1H55M,"""Comedy""","""Romance""",,"""BenStiller""","""RobertDeNiro""","""BlytheDanner""","""JayRoach""",,,"""GregGlienna""","""MaryRuthClarke""","""JimHerzfeld"""
223,tt5433140,Fast X,522381985,116057255,406324730,2023,""": null,
  ",32644,10,1,6.3,PG-13,2023-05-19," fast and furious franchise,dominic toretto character,shared universe,punched in the face,home invasion",2H21M,"""Action""","""Adventure""","""Crime""","""VinDiesel""","""MichelleRodriguez""","""JasonStatham""","""LouisLeterrier""",,,"""DanMazeau""","""JustinLin""","""GaryScottThompson"""
224,tt0910970,WALL·E,521311890,223808164,297503726,2008,""": ""In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."",
  ",1142740,10,1,8.4,G,2008-06-27," robot,obesity,pollution,outer space,cityscape",1H38M,"""Animation""","""Adventure""","""Family""","""BenBurtt""","""ElissaKnight""","""JeffGarlin""","""AndrewStanton""",,,"""AndrewStanton""","""PeteDocter""","""JimReardon"""
225,tt2267968,Kung Fu Panda 3,521170825,143528619,377642206,2016,""": null,
  ",169942,10,1,7.1,PG,2016-01-29," title co directed by female,younger version of character,falling downhill,title directed by female,psychotronic film",1H35M,"""Animation""","""Action""","""Adventure""","""JackBlack""","""BryanCranston""","""DustinHoffman""","""AlessandroCarloni""","""JenniferYuhNelson""",,"""JonathanAibel""","""GlennBerger""","""EthanReiff"""
226,tt0103064,Terminator 2: Judgment Day,520881154,205881154,315000000,1991,""": null,
  ",1122978,10,1,8.6,R,1991-07-03," time travel,future,artificial intelligence,mother son relationship,sacrifice",2H17M,"""Action""","""Sci-Fi""",,"""ArnoldSchwarzenegger""","""LindaHamilton""","""EdwardFurlong""","""JamesCameron""",,,"""JamesCameron""","""WilliamWisher""",
227,tt0478970,Ant-Man,519311965,180202163,339109802,2015,""": null,
  ",693007,10,1,7.3,PG-13,2015-07-17," miniaturized human,miniaturized man,ant man character,scott lang character,wasp character",1H57M,"""Action""","""Comedy""","""Sci-Fi""","""PaulRudd""","""MichaelDouglas""","""CoreyStoll""","""PeytonReed""",,,"""EdgarWright""","""JoeCornish""","""AdamMcKay"""
228,tt7097896,Venom: Let There Be Carnage,506863592,213550366,293313226,2021,""": ""Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution."",
  ",237068,10,1,5.9,PG-13,2021-10-01," based on comic,superhero,marvel comics,sequel,second part",1H37M,"""Action""","""Sci-Fi""","""Thriller""","""TomHardy""","""WoodyHarrelson""","""MichelleWilliams""","""AndySerkis""",,,"""KellyMarcel""","""TomHardy""",
